floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0002178,28,78.6%,21.4%,57.1%,,,,,,
TG_0002182,28,,,,,,,,,
TG_0002183,21,4.8%,4.8%,,,,,,,
TG_0002185,12,,,,,,,,,
TG_0002188,2,,,,,,,,,
TG_0002192,24,,,12.5%,,,,,,
TG_0002193,1,,,,,,,,,
TG_0002198,12,25.0%,8.3%,41.7%,,,,16.7%,,8.3%
TG_0002199,29,,,17.2%,,,,6.9%,,
TG_0002204,3,0.0%,66.7%,66.7%,,,,,,
TG_0002209,18,,,,,,,,,
TG_0002215,34,182.4%,20.6%,102.9%,,,,,,2.9%
TG_0002223,2,,,,,,,,,
TG_0002228,3,,,66.7%,,,66.7%,,,
TG_0002230,13,15.4%,0.0%,23.1%,,,,7.7%,,
TG_0002231,18,,,,,,,,,
TG_0002232,6,,,,,,,,,
TG_0002235,2,,,,,,,,,
TG_0002236,3,,,,,,,,,
TG_0002237,8,,,12.5%,,,,,,
TG_0002238,16,37.5%,0.0%,50.0%,,,12.5%,,25.0%,
TG_0002239,21,33.3%,76.2%,81.0%,,,,,4.8%,
TG_0002240,25,4.0%,0.0%,4.0%,,,,,,
TG_0002242,44,9.1%,20.5%,27.3%,,,,,4.5%,
TG_0002243,34,70.6%,0.0%,35.3%,,,,,,
TG_0002244,28,,,17.9%,,7.1%,,,3.6%,
TG_0002250,3,,,,,,,,,
TG_0002251,5,,,,,,,,,
TG_0002252,9,,,22.2%,,,,,,11.1%
TG_0002254,10,20.0%,0.0%,30.0%,,,,,10.0%,
TG_0002256,6,,,,,,,,,
TG_0002258,27,100.0%,0.0%,74.1%,,,,,,
TG_0002265,1,,,,,,,,,
TG_0002268,20,,,5.0%,,,,,,5.0%
TG_0002270,14,,,7.1%,,,,,,
TG_0002280,2,,,50.0%,,,,,,
TG_0002281,12,,,,,,,,,
TG_0002282,9,11.1%,0.0%,11.1%,,,,,,
TG_0002285,31,6.5%,0.0%,9.7%,,,,3.2%,,
TG_0002289,83,37.3%,3.6%,21.7%,,,,,,
TG_0002336,1,,,,,,,,,
TG_0002338,2,,,,,,,,,
TG_0002339,13,,,15.4%,,,,,,
TG_0002340,26,7.7%,3.8%,11.5%,,,,,,
TG_0002341,40,107.5%,25.0%,70.0%,,,,,,
TG_0002342,37,110.8%,13.5%,89.2%,,,,8.1%,,
TG_0002343,57,73.7%,14.0%,45.6%,,,,,,
TG_0002344,31,332.3%,54.8%,209.7%,,,,,,
TG_0002345,39,76.9%,10.3%,66.7%,,5.1%,,,,
TG_0002346,35,91.4%,37.1%,91.4%,,,,,,5.7%
TG_0002348,34,114.7%,8.8%,79.4%,,,,,,2.9%
TG_0002353,1,,,,,,,,,
TG_0002354,7,,,,,,,,,
TG_0002543,1,,,,,,,,,
TG_0002545,22,,,,,,,,,
TG_0002546,22,,,,,,,,,
TG_0002547,7,,,14.3%,,,,14.3%,,
TG_0002550,15,,,13.3%,,13.3%,,,,
TG_0002716,6,,,,,,,,,
TG_0002717,8,,,,,,,,,
TG_0002718,9,,,,,,,,,
TG_0002732,1,,,,,,,,,
TG_0002733,1,,,,,,,,,
TG_0002734,29,,,,,,,,,
TG_0002735,19,,,10.5%,,,,5.3%,5.3%,
TG_0002737,1,,,,,,,,,
TG_0002740,3,,,,,,,,,
TG_0002741,1,,,100.0%,,100.0%,,,,
TG_0002743,2,,,,,,,,,
TG_0002744,1,,,,,,,,,
TG_0002745,3,,,,,,,,,
TG_0002746,7,,,28.6%,,,,,,
TG_0002750,19,,,,,,,,,
TG_0002751,4,,,25.0%,,,,,25.0%,
TG_0002752,9,,,11.1%,,,,,,
TG_0002753,1,,,,,,,,,
TG_0002759,22,,,4.5%,,,,,,
TG_0002760,1,,,100.0%,,100.0%,,,,
TG_0002769,1,,,200.0%,,200.0%,,,,
TG_0002770,2,,,,,,,,,
TG_0002779,36,,,,,,,,,
TG_0002783,5,,,,,,,,,
TG_0002784,44,2.3%,0.0%,6.8%,,,,2.3%,,
TG_0002785,39,,,,,,,,,
TG_0002788,13,115.4%,30.8%,115.4%,,,,,,
TG_0002789,34,117.6%,29.4%,114.7%,,,,,,2.9%
TG_0002791,23,113.0%,26.1%,56.5%,,4.3%,,,,
TG_0002792,42,104.8%,42.9%,76.2%,,2.4%,,2.4%,2.4%,
TG_0002794,35,77.1%,22.9%,51.4%,,,,,,
TG_0002796,34,135.3%,17.6%,79.4%,,2.9%,,,,
TG_0002799,45,386.7%,113.3%,197.8%,,2.2%,2.2%,,,
TG_0002800,64,134.4%,48.4%,84.4%,,,,,,
TG_0002802,37,137.8%,24.3%,89.2%,,,,5.4%,,
TG_0002803,78,214.1%,56.4%,88.5%,,1.3%,,1.3%,,
TG_0002811,12,,,,,,,,,
TG_0002813,5,,,,,,,,,
TG_0002815,21,28.6%,23.8%,66.7%,,19.0%,,,,
TG_0002818,154,69.5%,23.4%,22.7%,,1.3%,,0.6%,,
TG_0002820,79,86.1%,84.8%,87.3%,,2.5%,,2.5%,,
TG_0002829,9,,,11.1%,,,,,,
TG_0002837,3,,,,,,,,,
TG_0002839,5,,,,,,,,,
TG_0002840,5,100.0%,60.0%,220.0%,,,,,20.0%,
TG_0002844,4,,,,,,,,,
TG_0002845,15,,,,,,,,,
TG_0002846,3,,,66.7%,,,,,,
TG_0003165,13,,,,,,,,,
TG_0003166,35,,,5.7%,,5.7%,,,,
TG_0003167,3,,,66.7%,,33.3%,,33.3%,,
TG_0003168,1,,,,,,,,,
TG_0003174,1,,,,,,,,,
TG_0003175,8,,,,,,,,,
TG_0003178,1,,,,,,,,,
TG_0003183,1,,,,,,,,,
TG_0003188,7,,,14.3%,,,,,,
TG_0003189,6,,,,,,,,,
TG_0003192,4,,,25.0%,,,,,25.0%,
TG_0003195,4,,,25.0%,,,,25.0%,,
TG_0003202,51,,,3.9%,,,2.0%,,,
TG_0003206,32,,,6.3%,,,3.1%,,3.1%,
TG_0003211,5,,,20.0%,,,20.0%,,,
TG_0003212,9,,,22.2%,,,,11.1%,,
TG_0003213,10,,,10.0%,,,10.0%,,,
TG_0003214,23,,,17.4%,,,,,,8.7%
TG_0003216,63,,,11.1%,,1.6%,,3.2%,1.6%,
TG_0003217,41,,,24.4%,,,2.4%,2.4%,,
TG_0003224,33,,,3.0%,,,,,,
TG_0003228,33,,,3.0%,,3.0%,,,,
TG_0003229,2,,,50.0%,,,,,,
TG_0003233,56,,,3.6%,,,,,,
TG_0003234,12,,,,,,,,,
TG_0003235,3,,,,,,,,,
TG_0003236,6,,,16.7%,,,,,16.7%,
TG_0003237,25,,,4.0%,,,,,,4.0%
TG_0003238,14,,,,,,,,,
TG_0003239,14,,,,,,,,,
TG_0003240,27,,,,,,,,,
TG_0003244,9,,,22.2%,,,,,11.1%,
TG_0003250,80,,,8.8%,,1.3%,1.3%,2.5%,,
TG_0003257,14,,,,,,,,,
TG_0003258,5,,,,,,,,,
TG_0003259,2,,,,,,,,,
TG_0003262,15,,,,,,,,,
TG_0003264,12,,,,,,,,,
TG_0003269,20,,,,,,,,,
TG_0003270,31,,,,,,,,,
TG_0003275,35,,,,,,,,,
TG_0003276,4,,,,,,,,,
TG_0003277,8,,,,,,,,,
TG_0003278,30,,,3.3%,,,,,,
TG_0003281,6,,,66.7%,,,16.7%,33.3%,,
TG_0003282,45,60.0%,62.2%,88.9%,,2.2%,2.2%,,4.4%,
TG_0003284,5,,,20.0%,,,,,,
TG_0003286,5,0.0%,20.0%,20.0%,,,,,,
TG_0003287,1,,,,,,,,,
TG_0003291,5,,,,,,,,,
TG_0003293,26,,,3.8%,,,,,3.8%,
TG_0003294,49,,,,,,,,,
TG_0003296,8,,,62.5%,,37.5%,,,,
TG_0003297,32,6.3%,0.0%,21.9%,,3.1%,,3.1%,,
TG_0003298,2,150.0%,0.0%,150.0%,,,,,,
TG_0003299,5,,,,,,,,,
TG_0003300,2,,,100.0%,,100.0%,,,,
TG_0003301,5,,,,,,,,,
TG_0003303,1,,,,,,,,,
TG_0003308,7,,,,,,,,,
TG_0003309,6,,,,,,,,,
TG_0003311,1,,,,,,,,,
TG_0003314,8,,,,,,,,,
TG_0003317,3,,,,,,,,,
TG_0003319,16,6.3%,0.0%,6.3%,,,,,,
TG_0003320,12,,,8.3%,,,,,,
TG_0003322,34,,,17.6%,,,11.8%,2.9%,,2.9%
TG_0003323,42,,,,,,,,,
TG_0003324,87,2.3%,1.1%,4.6%,,,1.1%,,,
TG_0003331,1,,,,,,,,,
TG_0003332,1,,,,,,,,,
TG_0003335,12,,,83.3%,,,8.3%,25.0%,41.7%,
TG_0003337,8,,,,,,,,,
TG_0003342,1,,,,,,,,,
TG_0003346,1,,,,,,,,,
TG_0003349,1,,,,,,,,,
TG_0003351,5,,,,,,,,,
TG_0003352,4,,,25.0%,,,,25.0%,,
TG_0003353,43,,,,,,,,,
TG_0003354,51,,,2.0%,,2.0%,,,,
TG_0003356,53,,,,,,,,,
TG_0003357,46,,,,,,,,,
TG_0003362,2,,,,,,,,,
TG_0003363,1,,,,,,,,,
TG_0003364,1,,,,,,,,,
TG_0003365,3,,,,,,,,,
TG_0003367,23,,,30.4%,,4.3%,,13.0%,13.0%,
TG_0003368,17,,,35.3%,,5.9%,5.9%,11.8%,,5.9%
TG_0003369,15,,,46.7%,,,6.7%,6.7%,,
TG_0003370,24,,,25.0%,,,,4.2%,,8.3%
TG_0003372,39,,,28.2%,,10.3%,5.1%,2.6%,5.1%,
TG_0003374,2,,,50.0%,,,,,,
TG_0003378,7,,,,,,,,,
TG_0003379,2,,,,,,,,,
TG_0003380,1,,,,,,,,,
TG_0003381,4,,,,,,,,,
TG_0003382,1,,,,,,,,,
TG_0003383,5,,,40.0%,,,,,20.0%,
TG_0003385,11,,,9.1%,,9.1%,,,,
TG_0003386,8,,,12.5%,,,,,,12.5%
TG_0003387,26,,,19.2%,,,,,3.8%,
TG_0003388,29,,,13.8%,,,13.8%,,,
TG_0003389,7,,,14.3%,,,,,14.3%,
TG_0003395,6,,,,,,,,,
TG_0003396,1,,,,,,,,,
TG_0003398,7,,,,,,,,,
TG_0003399,1,,,,,,,,,
TG_0003400,23,,,8.7%,,4.3%,,,,
TG_0003401,22,,,13.6%,,,4.5%,,4.5%,
TG_0003402,24,,,8.3%,,4.2%,,,4.2%,
TG_0003403,25,,,4.0%,,,,,,
TG_0003404,19,,,5.3%,,,5.3%,,,
TG_0003405,43,,,7.0%,,,2.3%,,,2.3%
TG_0003407,1,,,,,,,,,
TG_0003412,8,,,,,,,,,
TG_0003415,7,,,,,,,,,
TG_0003417,2,,,,,,,,,
TG_0003418,29,,,3.4%,,,,,,3.4%
TG_0003419,28,,,10.7%,,,,3.6%,7.1%,
TG_0003420,26,,,11.5%,,3.8%,,,,
TG_0003421,12,,,,,,,,,
TG_0003429,4,,,,,,,,,
TG_0003431,2,,,,,,,,,
TG_0003432,5,,,,,,,,,
TG_0003433,1,,,,,,,,,
TG_0003434,25,,,,,,,,,
TG_0003436,22,,,4.5%,,,,,4.5%,
TG_0003438,18,,,5.6%,,,,,,
TG_0003439,27,,,11.1%,,,,3.7%,7.4%,
TG_0003440,37,,,16.2%,,,2.7%,2.7%,2.7%,
TG_0003441,1,,,,,,,,,
TG_0003448,19,136.8%,5.3%,147.4%,,,,5.3%,,
TG_0003449,11,,,18.2%,,9.1%,,9.1%,,
TG_0003451,33,233.3%,36.4%,75.8%,,,,3.0%,6.1%,
TG_0003453,36,61.1%,19.4%,58.3%,,,8.3%,2.8%,5.6%,
TG_0003456,5,,,,,,,,,
TG_0003460,3,,,,,,,,,
TG_0003461,1,,,,,,,,,
TG_0003462,1,,,,,,,,,
TG_0003464,20,75.0%,0.0%,30.0%,,,5.0%,5.0%,,
TG_0003465,21,52.4%,114.3%,38.1%,,,,,,
TG_0003467,37,62.2%,2.7%,40.5%,,2.7%,,,,
TG_0003470,41,65.9%,17.1%,34.1%,,,,,,
TG_0003475,1,,,,,,,,,
TG_0003477,21,,,14.3%,,,,4.8%,4.8%,4.8%
TG_0003480,44,61.4%,70.5%,70.5%,,,,2.3%,4.5%,
TG_0003486,2,,,,,,,,,
TG_0003491,4,,,,,,,,,
TG_0003492,37,21.6%,29.7%,37.8%,,2.7%,,2.7%,,
TG_0003493,7,14.3%,0.0%,85.7%,,,,28.6%,14.3%,14.3%
TG_0003498,86,53.5%,16.3%,47.7%,,4.7%,,1.2%,,
TG_0003501,20,55.0%,5.0%,70.0%,,,,,5.0%,
TG_0003505,2,,,,,,,,,
TG_0003507,4,,,,,,,,,
TG_0003593,1,,,,,,,,,
TG_0003597,1,,,100.0%,,,100.0%,,,
TG_0003598,2,,,100.0%,,,50.0%,,,
TG_0003599,1,,,,,,,,,
TG_0003600,1,,,,,,,,,
TG_0003602,13,,,,,,,,,
TG_0003603,1,,,,,,,,,
TG_0003604,17,,,,,,,,,
TG_0003605,3,,,33.3%,,,33.3%,,,
TG_0003606,2,,,,,,,,,
TG_0003607,8,,,,,,,,,
TG_0003608,5,,,20.0%,,,,,20.0%,
TG_0003609,2,,,,,,,,,
TG_0003610,1,,,,,,,,,
TG_0004145,1,,,,,,,,,
TG_0004162,20,40.0%,30.0%,80.0%,,5.0%,5.0%,,,
TG_0004164,9,,,22.2%,,,,,,22.2%
TG_0004175,2,,,,,,,,,
TG_0004176,19,0.0%,10.5%,,,,,,,
TG_0004177,18,5.6%,5.6%,,,,,,,
TG_0004178,15,100.0%,6.7%,,,,,,,
TG_0004192,9,,,,,,,,,
TG_0004194,7,,,,,,,,,
TG_0004197,2,,,,,,,,,
TG_0004198,1,,,,,,,,,
TG_0004199,5,,,,,,,,,
TG_0004200,2,,,,,,,,,
TG_0004201,4,,,,,,,,,
TG_0004202,2,,,,,,,,,
TG_0004203,8,,,,,,,,,
TG_0004229,4,,,25.0%,,,25.0%,,,
TG_0004230,1,,,,,,,,,
TG_0004234,2,,,,,,,,,
TG_0004235,1,,,,,,,,,
TG_0004241,1,,,,,,,,,
TG_0004242,2,,,100.0%,,,,100.0%,,
TG_0004244,2,,,50.0%,,50.0%,,,,
TG_0004270,6,16.7%,0.0%,16.7%,,,,,,
TG_0004273,1,,,,,,,,,
TG_0004284,1,,,,,,,,,
TG_0004285,1,,,,,,,,,
TG_0004307,1,,,300.0%,,100.0%,100.0%,,,
TG_0004309,36,13.9%,0.0%,86.1%,,47.2%,5.6%,5.6%,,2.8%
TG_0004318,5,,,20.0%,,,,,20.0%,
TG_0004319,5,,,100.0%,,40.0%,20.0%,20.0%,,
TG_0004320,1,,,,,,,,,
TG_0004321,16,,,,,,,,,
TG_0004332,4,,,,,,,,,
TG_0004333,6,,,,,,,,,
TG_0004335,21,119.0%,100.0%,142.9%,,,,,,4.8%
TG_0004337,17,394.1%,17.6%,176.5%,,,,,,
TG_0004338,30,230.0%,156.7%,146.7%,,,,,,
TG_0004339,12,100.0%,108.3%,100.0%,,,,,,
TG_0004341,2,,,,,,,,,
TG_0004365,1,,,100.0%,,,,,100.0%,
TG_0004367,6,,,33.3%,,16.7%,,16.7%,,
TG_0004368,6,,,66.7%,,33.3%,,16.7%,,
TG_0004369,3,,,33.3%,,,33.3%,,,
TG_0004371,7,,,71.4%,,28.6%,,14.3%,,14.3%
TG_0004373,4,,,25.0%,,,25.0%,,,
TG_0004374,2,,,250.0%,,,100.0%,50.0%,,
TG_0004375,8,,,62.5%,,37.5%,,12.5%,,
TG_0004376,9,,,77.8%,,55.6%,,22.2%,,
TG_0004550,7,,,71.4%,,,14.3%,,14.3%,
TG_0004552,2,,,50.0%,,,,50.0%,,
TG_0004559,2,,,,,,,,,
TG_0004560,1,,,400.0%,,200.0%,100.0%,,,100.0%
TG_0004561,3,,,66.7%,,,,,66.7%,
TG_0004562,3,,,,,,,,,
TG_0004563,2,,,,,,,,,
TG_0004564,1,,,,,,,,,
TG_0004566,4,,,25.0%,,,,,25.0%,
TG_0004567,2,,,,,,,,,
TG_0004569,1,,,,,,,,,
TG_0004575,1,,,,,,,,,
TG_0004576,1,,,,,,,,,
TG_0004577,1,,,,,,,,,
TG_0004578,1,,,400.0%,,,,300.0%,100.0%,
TG_0004579,2,,,,,,,,,
TG_0004590,1,,,,,,,,,
TG_0004591,7,,,,,,,,,
TG_0004593,43,,,2.3%,,,,,,
TG_0004595,46,,,4.3%,,2.2%,,,,
TG_0004596,31,,,9.7%,,,,3.2%,,
TG_0004598,2,,,,,,,,,
TG_0004599,3,,,33.3%,,,,,,
TG_0004600,1,,,,,,,,,
TG_0004601,1,,,,,,,,,
TG_0004602,5,,,20.0%,,,,20.0%,,
TG_0004603,16,,,,,,,,,
TG_0004604,13,,,7.7%,,7.7%,,,,
TG_0004605,8,,,25.0%,,12.5%,12.5%,,,
TG_0004606,13,,,15.4%,,,,,,15.4%
TG_0004608,24,,,8.3%,,,,,,
TG_0004609,28,,,10.7%,,,,,,
TG_0004611,70,,,14.3%,,,,1.4%,,4.3%
TG_0004612,44,,,2.3%,,,,2.3%,,
TG_0004614,4,,,25.0%,,25.0%,,,,
TG_0004616,18,,,11.1%,,,,,,
TG_0004617,13,,,,,,,,,
TG_0004620,20,,,,,,,,,
TG_0004621,7,,,14.3%,,14.3%,,,,
TG_0004622,4,,,25.0%,,,,,,
TG_0004623,2,,,,,,,,,
TG_0004624,7,,,,,,,,,
TG_0004625,7,,,,,,,,,
TG_0004628,12,,,,,,,,,
TG_0004629,12,,,8.3%,,8.3%,,,,
TG_0004630,6,,,16.7%,,,,,16.7%,
TG_0004632,2,,,50.0%,,,,50.0%,,
TG_0004633,5,,,,,,,,,
TG_0004636,1,,,,,,,,,
TG_0004637,6,,,,,,,,,
TG_0004638,12,,,41.7%,,,,8.3%,,8.3%
TG_0004640,37,,,2.7%,,2.7%,,,,
TG_0004641,49,,,2.0%,,,,,,
TG_0004645,2,,,,,,,,,
TG_0004646,5,,,,,,,,,
TG_0004652,2,,,,,,,,,
TG_0004657,10,,,,,,,,,
TG_0004658,14,,,14.3%,,7.1%,,,,
TG_0004661,11,,,,,,,,,
TG_0004662,11,,,18.2%,,,,,,
TG_0004663,15,,,6.7%,,,,6.7%,,
TG_0004665,7,,,,,,,,,
TG_0004666,4,,,,,,,,,
TG_0004669,2,,,,,,,,,
TG_0004670,3,,,,,,,,,
TG_0004672,18,,,44.4%,,11.1%,,5.6%,,16.7%
TG_0004673,8,,,12.5%,,,,12.5%,,
TG_0004674,3,,,100.0%,,33.3%,,,,33.3%
TG_0004676,3,,,33.3%,,,,33.3%,,
TG_0004678,3,,,,,,,,,
TG_0004679,2,,,,,,,,,
TG_0004680,3,,,33.3%,,33.3%,,,,
TG_0004819,3,,,,,,,,,
TG_0004821,9,,,,,,,,,
TG_0004822,4,25.0%,0.0%,25.0%,,,,,,
TG_0004823,7,85.7%,0.0%,57.1%,,,,,,
TG_0004825,12,,,16.7%,,,,8.3%,8.3%,
TG_0004826,9,,,,,,,,,
TG_0004827,2,,,,,,,,,
TG_0004829,2,,,,,,,,,
TG_0004830,13,0.0%,7.7%,7.7%,,,,,,
TG_0004831,10,0.0%,50.0%,10.0%,,,,,,
TG_0004832,21,9.5%,28.6%,42.9%,,,,,,
TG_0004834,49,89.8%,24.5%,59.2%,,,,,2.0%,
TG_0004836,53,13.2%,0.0%,15.1%,,,,,1.9%,1.9%
TG_0004838,8,25.0%,0.0%,25.0%,,,,,,
TG_0004839,4,25.0%,0.0%,25.0%,,,,,,
TG_0004840,11,,,,,,,,,
TG_0004841,2,150.0%,0.0%,150.0%,,,,,,
TG_0004842,1,,,,,,,,,
TG_0004843,5,40.0%,20.0%,60.0%,,,,,,
TG_0004844,4,,,,,,,,,
TG_0004845,1,,,,,,,,,
TG_0004846,13,,,,,,,,,
TG_0004847,11,45.5%,27.3%,54.5%,,,18.2%,,,
TG_0004848,5,,,,,,,,,
TG_0004849,2,50.0%,50.0%,100.0%,,,,,,
TG_0004861,2,,,,,,,,,
TG_0004862,1,,,,,,,,,
TG_0004864,1,,,,,,,,,
TG_0004872,1,,,,,,,,,
TG_0004873,1,,,,,,,,,
TG_0004874,3,,,,,,,,,
TG_0004876,1,,,,,,,,,
TG_0004880,3,,,,,,,,,
TG_0004882,1,100.0%,0.0%,100.0%,,,,,,
TG_0004883,7,,,,,,,,,
TG_0004890,8,12.5%,0.0%,,,,,,,
TG_0004891,3,,,,,,,,,
TG_0004893,13,,,,,,,,,
TG_0004894,9,11.1%,0.0%,11.1%,,,,,,
TG_0004902,12,,,16.7%,,,,,,
TG_0004903,12,41.7%,8.3%,41.7%,,25.0%,,,,
TG_0004904,5,40.0%,40.0%,160.0%,,,,20.0%,40.0%,
TG_0004905,1,,,,,,,,,
TG_0004907,2,,,,,,,,,
TG_0004913,1,,,,,,,,,
TG_0004914,1,,,,,,,,,
TG_0004915,2,,,,,,,,,
TG_0004920,11,,,45.5%,,,,18.2%,,
TG_0004922,4,,,,,,,,,
TG_0004923,1,,,,,,,,,
TG_0004938,20,,,10.0%,,,,5.0%,5.0%,
TG_0004939,6,,,,,,,,,
TG_0004940,3,,,33.3%,,,,,,
TG_0004941,7,0.0%,57.1%,42.9%,,14.3%,,,,
TG_0004942,13,69.2%,7.7%,92.3%,,,,,,
TG_0004944,6,0.0%,33.3%,33.3%,,,,,,
TG_0004945,6,16.7%,0.0%,50.0%,,,,,,
TG_0004948,9,22.2%,22.2%,55.6%,,,,,,11.1%
TG_0004949,8,112.5%,12.5%,100.0%,,,,,,
TG_0004950,2,,,,,,,,,
TG_0004952,1,,,,,,,,,
TG_0004953,5,,,,,,,,,
TG_0004954,1,0.0%,100.0%,100.0%,,,,,,
TG_0004955,1,,,,,,,,,
TG_0004956,5,40.0%,0.0%,40.0%,,,,,,
TG_0004963,3,,,,,,,,,
TG_0004965,2,,,,,,,,,
TG_0004970,1,,,,,,,,,
TG_0005126,36,,,,,,,,,
TG_0005127,48,,,2.1%,,,,,,
TG_0005128,109,,,3.7%,,,,,,0.9%
TG_0005129,212,,,2.8%,,0.5%,,0.5%,,0.5%
TG_0005134,13,,,,,,,,,
TG_0005135,18,,,,,,,,,
TG_0005136,1,,,,,,,,,
TG_0005137,6,,,,,,,,,
TG_0005138,31,,,29.0%,,6.5%,6.5%,,3.2%,
TG_0005139,26,,,,,,,,,
TG_0005141,32,,,3.1%,,,3.1%,,,
TG_0005142,23,,,,,,,,,
TG_0005143,15,,,,,,,,,
TG_0005144,35,,,2.9%,,,,,,
TG_0005145,22,,,9.1%,,,,,4.5%,
TG_0005146,25,,,,,,,,,
TG_0005147,22,,,4.5%,,4.5%,,,,
TG_0005148,13,,,,,,,,,
TG_0005149,25,,,4.0%,,,,,,
TG_0005151,32,,,12.5%,,,,,,
TG_0005152,3,,,,,,,,,
TG_0005153,36,,,11.1%,,5.6%,2.8%,,2.8%,
TG_0005155,33,,,3.0%,,,,,,3.0%
TG_0005158,32,,,3.1%,,,,,,
TG_0005160,34,,,,,,,,,
TG_0005163,27,,,,,,,,,
TG_0005168,1,,,,,,,,,
TG_0005169,14,,,,,,,,,
TG_0005170,40,,,2.5%,,,,,,
TG_0005175,3,,,,,,,,,
TG_0005300,2,,,50.0%,,50.0%,,,,
TG_0005302,5,,,100.0%,,20.0%,20.0%,,,
TG_0005303,1,,,,,,,,,
TG_0005309,1,,,,,,,,,
TG_0005310,3,,,,,,,,,
TG_0005311,1,,,,,,,,,
TG_0005312,20,,,,,,,,,
TG_0005324,2,,,,,,,,,
TG_0005330,11,,,,,,,,,
TG_0005331,3,,,,,,,,,
TG_0005646,1,,,100.0%,,100.0%,,,,
TG_0005647,1,,,,,,,,,
