floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0005648,3,,,33.3%,,,,33.3%,,
TG_0005649,4,,,,,,,,,
TG_0006064,1,,,,,,,,,
TG_0006196,1,,,,,,,,,
TG_0000903,154,0.6%,1.3%,5.2%,0.6%,1.3%,,0.6%,,0.6%
TG_0000843,146,34.2%,7.5%,16.4%,0.7%,,,,0.7%,0.7%
TG_0000881,144,50.0%,4.9%,27.8%,0.7%,,,,,
TG_0003484,140,57.1%,14.3%,45.0%,0.7%,,0.7%,0.7%,,
TG_0000445,138,13.8%,3.6%,15.2%,0.7%,0.7%,2.2%,1.4%,,0.7%
TG_0000928,128,0.8%,6.3%,5.5%,0.8%,0.8%,,,,
TG_0000037,125,76.0%,16.8%,27.2%,0.8%,2.4%,,1.6%,0.8%,
TG_0000395,123,37.4%,16.3%,30.9%,0.8%,4.1%,2.4%,,,0.8%
TG_0000393,116,6.0%,8.6%,23.3%,0.9%,0.9%,5.2%,0.9%,7.8%,
TG_0000390,115,36.5%,20.9%,28.7%,0.9%,0.9%,,2.6%,0.9%,
TG_0000883,113,96.5%,4.4%,33.6%,0.9%,,,,0.9%,
TG_0002816,112,99.1%,7.1%,35.7%,0.9%,0.9%,,,,
TG_0000448,104,64.4%,12.5%,34.6%,1.0%,1.9%,4.8%,,,
TG_0000436,102,38.2%,12.7%,40.2%,1.0%,,3.9%,1.0%,2.9%,
TG_0000389,101,14.9%,2.0%,22.8%,1.0%,2.0%,4.0%,1.0%,,
TG_0000444,99,47.5%,8.1%,27.3%,1.0%,1.0%,1.0%,1.0%,,
TG_0000402,97,14.4%,7.2%,17.5%,1.0%,,4.1%,,,
TG_0000902,97,,,6.2%,1.0%,1.0%,1.0%,,1.0%,
TG_0002273,96,19.8%,11.5%,18.8%,1.0%,4.2%,,,,
TG_0001840,95,14.7%,1.1%,13.7%,1.1%,,,,1.1%,2.1%
TG_0001927,95,43.2%,38.9%,24.2%,1.1%,,,,,
TG_0000456,89,13.5%,7.9%,33.7%,1.1%,1.1%,5.6%,,2.2%,
TG_0000904,89,0.0%,2.2%,5.6%,1.1%,1.1%,,1.1%,,
TG_0002819,89,3.4%,1.1%,10.1%,1.1%,2.2%,,3.4%,,
TG_0003249,84,,,8.3%,1.2%,1.2%,,1.2%,,
TG_0000787,83,130.1%,0.0%,41.0%,1.2%,,,,,
TG_0000901,161,5.0%,0.6%,5.0%,1.2%,,,0.6%,,
TG_0000765,78,24.4%,0.0%,15.4%,1.3%,1.3%,2.6%,,,1.3%
TG_0003481,77,31.2%,2.6%,20.8%,1.3%,,,,,
TG_0001837,153,68.0%,9.8%,42.5%,1.3%,11.8%,2.0%,2.0%,,
TG_0000441,76,15.8%,6.6%,21.1%,1.3%,,1.3%,1.3%,,
TG_0003245,76,,,11.8%,1.3%,3.9%,1.3%,,,1.3%
TG_0000885,74,23.0%,13.5%,18.9%,1.4%,,2.7%,1.4%,,
TG_0002179,73,1.4%,0.0%,5.5%,1.4%,,,,,
TG_0003485,73,45.2%,0.0%,38.4%,1.4%,1.4%,,1.4%,1.4%,
TG_0000842,141,26.2%,29.8%,24.8%,1.4%,2.8%,0.7%,,0.7%,
TG_0000846,70,10.0%,8.6%,28.6%,1.4%,,2.9%,2.9%,1.4%,1.4%
TG_0001933,70,77.1%,41.4%,54.3%,1.4%,,1.4%,,,
TG_0003469,66,18.2%,19.7%,28.8%,1.5%,,,,1.5%,
TG_0000939,65,164.6%,4.6%,115.4%,1.5%,3.1%,3.1%,3.1%,6.2%,
TG_0002821,65,61.5%,27.7%,46.2%,1.5%,6.2%,1.5%,,1.5%,1.5%
TG_0003283,64,46.9%,39.1%,40.6%,1.6%,3.1%,1.6%,,1.6%,
TG_0000394,126,15.1%,15.1%,21.4%,1.6%,0.8%,3.2%,,,
TG_0003340,121,,,4.1%,1.7%,,0.8%,,1.7%,
TG_0000884,60,50.0%,3.3%,26.7%,1.7%,,,1.7%,1.7%,
TG_0004835,60,20.0%,5.0%,18.3%,1.7%,,,,,5.0%
TG_0003280,59,1.7%,0.0%,27.1%,1.7%,1.7%,,11.9%,,
TG_0000764,57,21.1%,1.8%,43.9%,1.8%,5.3%,,8.8%,5.3%,
TG_0000460,56,10.7%,12.5%,30.4%,1.8%,,3.6%,,,
TG_0000880,109,49.5%,5.5%,22.9%,1.8%,,,,,
TG_0001928,109,52.3%,56.9%,46.8%,1.8%,,,2.8%,,
TG_0002286,109,119.3%,19.3%,50.5%,1.8%,,,,,
TG_0000806,53,13.2%,1.9%,18.9%,1.9%,,,,,1.9%
TG_0002267,53,162.3%,3.8%,58.5%,1.9%,,,,,
TG_0000792,52,151.9%,1.9%,90.4%,1.9%,,,,,
TG_0001926,104,38.5%,47.1%,33.7%,1.9%,,1.0%,1.0%,,1.0%
TG_0000399,103,11.7%,12.6%,20.4%,1.9%,1.0%,1.9%,1.0%,,
TG_0000040,51,35.3%,0.0%,19.6%,2.0%,,2.0%,,,
TG_0000926,151,8.6%,6.0%,11.9%,2.0%,,,0.7%,,
TG_0000455,100,1.0%,1.0%,7.0%,2.0%,,2.0%,1.0%,,
TG_0002214,50,180.0%,228.0%,158.0%,2.0%,,2.0%,,2.0%,2.0%
TG_0003479,50,6.0%,22.0%,32.0%,2.0%,,2.0%,6.0%,,
TG_0003339,149,,,5.4%,2.0%,0.7%,,,0.7%,0.7%
TG_0000400,98,30.6%,10.2%,30.6%,2.0%,1.0%,1.0%,2.0%,,
TG_0000439,97,26.8%,9.3%,41.2%,2.1%,7.2%,6.2%,,5.2%,
TG_0002814,48,,,2.1%,2.1%,,,,,
TG_0003222,48,,,2.1%,2.1%,,,,,
TG_0002793,47,208.5%,27.7%,123.4%,2.1%,4.3%,,,4.3%,
TG_0003227,47,,,2.1%,2.1%,,,,,
TG_0004659,46,,,19.6%,2.2%,2.2%,,4.3%,,
TG_0002347,44,9.1%,2.3%,20.5%,2.3%,,,,,2.3%
TG_0002272,130,50.0%,35.4%,50.8%,2.3%,2.3%,,,1.5%,
TG_0000398,86,15.1%,4.7%,29.1%,2.3%,2.3%,9.3%,,,1.2%
TG_0004594,43,,,7.0%,2.3%,,,,,
TG_0000401,85,12.9%,12.9%,31.8%,2.4%,1.2%,8.2%,,3.5%,
TG_0003466,42,331.0%,178.6%,90.5%,2.4%,,2.4%,,2.4%,
TG_0003483,83,61.4%,6.0%,41.0%,2.4%,,,,,
TG_0000435,82,3.7%,0.0%,17.1%,2.4%,1.2%,2.4%,3.7%,1.2%,
TG_0000757,41,0.0%,4.9%,19.5%,2.4%,7.3%,,,2.4%,
TG_0002081,41,,,4.9%,2.4%,,,,,2.4%
TG_0002817,121,37.2%,71.9%,42.1%,2.5%,,,,0.8%,
TG_0000438,80,8.8%,11.3%,25.0%,2.5%,1.3%,3.8%,5.0%,,
TG_0002074,40,,,17.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%
TG_0003248,80,,,6.3%,2.5%,1.3%,1.3%,,,
TG_0003261,40,,,7.5%,2.5%,,,,,
TG_0003468,40,12.5%,5.0%,15.0%,2.5%,,,,,
TG_0000825,79,40.5%,20.3%,40.5%,2.5%,,,6.3%,3.8%,
TG_0002082,39,,,7.7%,2.6%,2.6%,,,,
TG_0003252,78,,,9.0%,2.6%,,,1.3%,1.3%,2.6%
TG_0000927,115,5.2%,0.9%,10.4%,2.6%,,,,1.7%,
TG_0000938,114,73.7%,6.1%,60.5%,2.6%,,,3.5%,0.9%,0.9%
TG_0001838,152,25.0%,2.6%,22.4%,2.6%,2.0%,3.3%,,0.7%,0.7%
TG_0002180,38,,,5.3%,2.6%,,,,,
TG_0003373,38,,,21.1%,2.6%,2.6%,,5.3%,7.9%,
TG_0000451,113,33.6%,28.3%,34.5%,2.7%,,1.8%,0.9%,0.9%,
TG_0000762,74,18.9%,5.4%,25.7%,2.7%,1.4%,,1.4%,,1.4%
TG_0000863,37,2.7%,0.0%,5.4%,2.7%,,,,,
TG_0001930,74,67.6%,78.4%,82.4%,2.7%,,,6.8%,,
TG_0003285,37,,,2.7%,2.7%,,,,,
TG_0003321,74,,,5.4%,2.7%,,1.4%,,,
TG_0000454,73,46.6%,24.7%,50.7%,2.7%,1.4%,12.3%,1.4%,,
TG_0001828,72,12.5%,1.4%,9.7%,2.8%,,,,1.4%,
TG_0002216,36,419.4%,127.8%,161.1%,2.8%,,,,2.8%,
TG_0002790,36,141.7%,41.7%,100.0%,2.8%,2.8%,,,2.8%,
TG_0002795,36,47.2%,33.3%,44.4%,2.8%,,,2.8%,,
TG_0003247,71,,,8.5%,2.8%,1.4%,1.4%,,,
TG_0000199,35,74.3%,17.1%,77.1%,2.9%,5.7%,5.7%,5.7%,,
TG_0000763,35,0.0%,8.6%,14.3%,2.9%,2.9%,,,,
TG_0000845,70,64.3%,32.9%,48.6%,2.9%,1.4%,,,,
TG_0003215,35,,,11.4%,2.9%,,,,,2.9%
TG_0005159,35,,,8.6%,2.9%,2.9%,2.9%,,,
TG_0000407,103,33.0%,24.3%,28.2%,2.9%,1.0%,1.9%,,,1.0%
TG_0000442,103,29.1%,10.7%,27.2%,2.9%,,1.9%,1.0%,2.9%,
TG_0001932,68,82.4%,32.4%,63.2%,2.9%,,1.5%,,,
TG_0002257,34,17.6%,0.0%,14.7%,2.9%,,,5.9%,,
TG_0001839,134,16.4%,1.5%,17.2%,3.0%,4.5%,0.7%,,,
TG_0000796,33,263.6%,3.0%,112.1%,3.0%,3.0%,,,,
TG_0003204,33,,,21.2%,3.0%,3.0%,,,,
TG_0000404,97,21.6%,7.2%,32.0%,3.1%,2.1%,3.1%,,1.0%,
TG_0005157,32,,,3.1%,3.1%,,,,,
TG_0000406,94,55.3%,25.5%,51.1%,3.2%,5.3%,4.3%,2.1%,,
TG_0003251,62,,,21.0%,3.2%,1.6%,,4.8%,4.8%,
TG_0003355,31,6.5%,0.0%,6.5%,3.2%,,,,,
TG_0003482,93,68.8%,14.0%,50.5%,3.2%,,,,1.1%,
TG_0004613,62,,,12.9%,3.2%,3.2%,1.6%,1.6%,,
TG_0003325,61,,,3.3%,3.3%,,,,,
TG_0003205,30,,,6.7%,3.3%,,,3.3%,,
TG_0003256,30,,,3.3%,3.3%,,,,,
TG_0002072,29,,,27.6%,3.4%,,,10.3%,3.4%,
TG_0002787,29,65.5%,31.0%,65.5%,3.4%,3.4%,3.4%,,,
TG_0003260,29,,,6.9%,3.4%,,3.4%,,,
TG_0003500,87,54.0%,10.3%,27.6%,3.4%,,,,,
TG_0004334,29,403.4%,31.0%,182.8%,3.4%,3.4%,,,,3.4%
TG_0000844,113,21.2%,15.0%,17.7%,3.5%,0.9%,,,,
TG_0001818,56,,,3.6%,3.6%,,,,,
TG_0002079,28,,,3.6%,3.6%,,,,,
TG_0003478,28,32.1%,0.0%,53.6%,3.6%,,3.6%,3.6%,10.7%,
TG_0000760,83,13.3%,3.6%,19.3%,3.6%,1.2%,2.4%,,,1.2%
TG_0000135,27,3.7%,0.0%,11.1%,3.7%,,,,,
TG_0000788,54,59.3%,7.4%,53.7%,3.7%,,,,,
TG_0001853,27,18.5%,0.0%,25.9%,3.7%,3.7%,,,,3.7%
TG_0002798,27,185.2%,40.7%,144.4%,3.7%,3.7%,3.7%,3.7%,3.7%,
TG_0000392,134,49.3%,26.1%,46.3%,3.7%,0.7%,2.2%,2.2%,1.5%,
TG_0001836,134,20.1%,6.7%,14.9%,3.7%,0.7%,,,1.5%,
TG_0003499,134,150.0%,45.5%,59.0%,3.7%,1.5%,0.7%,,0.7%,0.7%
TG_0003338,80,,,7.5%,3.8%,,,,,
TG_0000876,52,61.5%,5.8%,26.9%,3.8%,1.9%,1.9%,,,
TG_0001573,26,,,3.8%,3.8%,,,,,
TG_0002071,26,,,11.5%,3.8%,,,,3.8%,
TG_0002073,26,,,15.4%,3.8%,,3.8%,,,
TG_0002260,26,173.1%,7.7%,130.8%,3.8%,,,,,
TG_0002284,26,50.0%,15.4%,76.9%,3.8%,3.8%,,15.4%,3.8%,
TG_0002801,26,88.5%,11.5%,84.6%,3.8%,,,,,
TG_0005150,26,,,23.1%,3.8%,,,3.8%,3.8%,
TG_0000447,102,52.0%,31.4%,43.1%,3.9%,1.0%,6.9%,2.9%,2.0%,
TG_0002271,51,15.7%,70.6%,62.7%,3.9%,,3.9%,2.0%,2.0%,
TG_0000759,50,30.0%,2.0%,28.0%,4.0%,,,4.0%,2.0%,
TG_0002050,24,,,20.8%,4.2%,4.2%,4.2%,,4.2%,
TG_0002054,24,,,8.3%,4.2%,4.2%,,,,
TG_0004163,24,108.3%,33.3%,75.0%,4.2%,,,,4.2%,
TG_0002290,93,58.1%,31.2%,51.6%,4.3%,1.1%,,1.1%,,
TG_0002830,23,8.7%,4.3%,17.4%,4.3%,,4.3%,,,
TG_0003496,46,2.2%,10.9%,21.7%,4.3%,,,,6.5%,
TG_0000929,114,41.2%,13.2%,43.0%,4.4%,0.9%,1.8%,,0.9%,
TG_0000768,45,20.0%,0.0%,28.9%,4.4%,,,,,
TG_0002177,22,4.5%,0.0%,13.6%,4.5%,,,,4.5%,
TG_0003497,87,129.9%,29.9%,62.1%,4.6%,,,,1.1%,
TG_0000144,86,100.0%,27.9%,52.3%,4.7%,1.2%,1.2%,,2.3%,
TG_0000408,43,41.9%,34.9%,53.5%,4.7%,2.3%,4.7%,9.3%,,
TG_0000382,21,4.8%,0.0%,28.6%,4.8%,4.8%,9.5%,,,
TG_0000875,42,50.0%,23.8%,35.7%,4.8%,,,,2.4%,
TG_0000949,21,,,9.5%,4.8%,4.8%,,,,
TG_0003454,21,4.8%,9.5%,19.0%,4.8%,4.8%,,4.8%,,
TG_0002275,166,65.1%,13.9%,43.4%,4.8%,0.6%,,,0.6%,
TG_0003218,62,,,8.1%,4.8%,,,,,
TG_0000766,41,24.4%,2.4%,36.6%,4.9%,,,4.9%,2.4%,
TG_0000936,20,,,40.0%,5.0%,5.0%,,,5.0%,5.0%
TG_0002174,20,,,5.0%,5.0%,,,,,
TG_0003384,20,,,5.0%,5.0%,,,,,
TG_0000827,59,8.5%,18.6%,30.5%,5.1%,,1.7%,1.7%,1.7%,
TG_0000458,39,48.7%,7.7%,38.5%,5.1%,2.6%,12.8%,,,
TG_0001845,39,,,12.8%,5.1%,,,,,
TG_0003223,39,,,10.3%,5.1%,,,,5.1%,
TG_0000754,38,13.2%,0.0%,34.2%,5.3%,15.8%,2.6%,,2.6%,
TG_0002828,19,,,10.5%,5.3%,,,,,
TG_0003463,38,7.9%,0.0%,18.4%,5.3%,,,2.6%,2.6%,
TG_0005156,19,,,10.5%,5.3%,,,,,
TG_0002274,132,26.5%,15.2%,28.8%,5.3%,,,,0.8%,
TG_0000403,112,5.4%,0.9%,28.6%,5.4%,1.8%,4.5%,6.3%,1.8%,1.8%
TG_0002061,56,,,8.9%,5.4%,1.8%,,,,
TG_0002288,93,14.0%,11.8%,29.0%,5.4%,3.2%,,5.4%,3.2%,
TG_0000142,74,20.3%,31.1%,25.7%,5.4%,,,1.4%,1.4%,
TG_0003452,37,83.8%,54.1%,73.0%,5.4%,2.7%,10.8%,,,
TG_0000388,36,16.7%,2.8%,88.9%,5.6%,5.6%,13.9%,5.6%,11.1%,
TG_0001854,18,,,16.7%,5.6%,11.1%,,,,
TG_0002176,18,,,11.1%,5.6%,,,,,5.6%
TG_0002213,18,0.0%,55.6%,50.0%,5.6%,,,,,
TG_0002261,18,27.8%,33.3%,55.6%,5.6%,,,,,
TG_0002287,87,32.2%,49.4%,55.2%,5.7%,2.3%,1.1%,1.1%,5.7%,1.1%
TG_0004161,17,5.9%,17.6%,23.5%,5.9%,,,,,
TG_0000094,16,,,6.3%,6.3%,,,,,
TG_0000920,16,,,6.3%,6.3%,,,,,
TG_0001931,80,62.5%,21.3%,47.5%,6.3%,,,,,
TG_0003203,32,,,12.5%,6.3%,3.1%,,,,
TG_0003333,16,,,6.3%,6.3%,,,,,
TG_0003422,32,,,21.9%,6.3%,6.3%,3.1%,3.1%,3.1%,
TG_0000758,47,2.1%,0.0%,19.1%,6.4%,2.1%,4.3%,4.3%,,
TG_0001843,31,16.1%,3.2%,22.6%,6.5%,3.2%,,,,
TG_0002797,31,48.4%,6.5%,35.5%,6.5%,,,3.2%,,3.2%
TG_0003226,31,,,12.9%,6.5%,,,,,3.2%
TG_0003263,31,,,6.5%,6.5%,,,,,
TG_0001829,92,31.5%,4.3%,35.9%,6.5%,1.1%,,5.4%,1.1%,
TG_0000271,15,13.3%,0.0%,26.7%,6.7%,,,,6.7%,
TG_0000756,45,8.9%,4.4%,28.9%,6.7%,4.4%,4.4%,6.7%,,
TG_0000930,15,,,6.7%,6.7%,,,,,
TG_0002208,15,13.3%,6.7%,46.7%,6.7%,,,6.7%,,6.7%
TG_0002224,15,,,6.7%,6.7%,,,,,
TG_0002832,15,60.0%,140.0%,133.3%,6.7%,,6.7%,,,
TG_0003437,15,,,20.0%,6.7%,,,6.7%,,
TG_0003225,43,,,7.0%,7.0%,,,,,
TG_0000258,14,7.1%,0.0%,14.3%,7.1%,,,,,
TG_0000461,14,14.3%,21.4%,78.6%,7.1%,7.1%,7.1%,,,
TG_0001400,14,,,7.1%,7.1%,,,,,
TG_0001841,56,10.7%,0.0%,26.8%,7.1%,,,7.1%,,1.8%
TG_0002259,14,50.0%,0.0%,78.6%,7.1%,,,,7.1%,
TG_0003455,42,50.0%,50.0%,61.9%,7.1%,2.4%,,2.4%,4.8%,
TG_0004607,28,,,10.7%,7.1%,,,,,
TG_0005154,28,,,14.3%,7.1%,,,,,3.6%
TG_0000170,27,88.9%,133.3%,100.0%,7.4%,,,,,
TG_0003341,120,,,10.0%,7.5%,,,,0.8%,0.8%
TG_0005171,40,,,12.5%,7.5%,,,5.0%,,
TG_0000095,26,26.9%,7.7%,30.8%,7.7%,7.7%,,,,
TG_0000137,13,15.4%,0.0%,61.5%,7.7%,,,,15.4%,7.7%
TG_0000767,65,26.2%,21.5%,35.4%,7.7%,1.5%,3.1%,3.1%,,
TG_0000922,13,,,7.7%,7.7%,,,,,
TG_0001880,13,,,15.4%,7.7%,,,,,7.7%
TG_0003184,13,,,53.8%,7.7%,38.5%,,,,
TG_0003371,39,,,30.8%,7.7%,2.6%,5.1%,7.7%,5.1%,2.6%
TG_0004833,13,,,7.7%,7.7%,,,,,
TG_0000138,64,118.8%,12.5%,73.4%,7.8%,3.1%,,3.1%,1.6%,
TG_0001929,102,58.8%,39.2%,45.1%,7.8%,,,,,
TG_0002786,37,218.9%,37.8%,132.4%,8.1%,,2.7%,,,
TG_0000140,108,79.6%,23.1%,47.2%,8.3%,0.9%,1.9%,,0.9%,
TG_0003406,12,,,50.0%,8.3%,8.3%,8.3%,8.3%,,
TG_0003450,12,83.3%,66.7%,83.3%,8.3%,,,,,
TG_0004626,12,,,16.7%,8.3%,,,,,
TG_0005161,24,,,29.2%,8.3%,,4.2%,,12.5%,
TG_0000381,46,39.1%,0.0%,39.1%,8.7%,,8.7%,,2.2%,
TG_0002831,23,65.2%,0.0%,52.2%,8.7%,4.3%,,,4.3%,
TG_0005162,23,,,17.4%,8.7%,,,,,
TG_0004660,34,,,20.6%,8.8%,2.9%,,,,5.9%
TG_0002241,11,9.1%,0.0%,72.7%,9.1%,,,18.2%,18.2%,
TG_0003435,22,,,18.2%,9.1%,4.5%,,,,
TG_0004675,22,,,22.7%,9.1%,,,,,
TG_0001849,42,19.0%,2.4%,33.3%,9.5%,2.4%,,,2.4%,2.4%
TG_0002549,21,,,28.6%,9.5%,4.8%,4.8%,,,
TG_0000342,10,,,20.0%,10.0%,,,,10.0%,
TG_0000440,80,1.3%,0.0%,28.8%,10.0%,6.3%,3.8%,1.3%,,1.3%
TG_0002269,30,63.3%,13.3%,93.3%,10.0%,,3.3%,3.3%,,6.7%
TG_0002283,10,10.0%,30.0%,60.0%,10.0%,,,,10.0%,
TG_0003494,20,40.0%,30.0%,75.0%,10.0%,5.0%,,10.0%,,
TG_0004618,10,,,20.0%,10.0%,10.0%,,,,
TG_0005140,10,,,10.0%,10.0%,,,,,
TG_0005301,10,,,180.0%,10.0%,90.0%,20.0%,,,20.0%
TG_0000824,58,67.2%,34.5%,65.5%,10.3%,,,5.2%,1.7%,
TG_0000145,19,42.1%,15.8%,63.2%,10.5%,,,,5.3%,
TG_0004892,19,5.3%,0.0%,21.1%,10.5%,,,,,
TG_0000300,28,75.0%,32.1%,67.9%,10.7%,,,,,
TG_0000264,9,,,22.2%,11.1%,,,,,
TG_0000750,18,0.0%,11.1%,88.9%,11.1%,22.2%,,,11.1%,
TG_0002181,18,,,16.7%,11.1%,,,,,
TG_0002200,18,,,11.1%,11.1%,,,,,
TG_0004951,9,33.3%,22.2%,55.6%,11.1%,,,,,11.1%
TG_0000828,105,73.3%,56.2%,67.6%,11.4%,,,,1.0%,6.7%
TG_0000257,17,5.9%,0.0%,17.6%,11.8%,,,,,
TG_0000755,42,2.4%,4.8%,45.2%,11.9%,,2.4%,7.1%,9.5%,
TG_0003495,42,61.9%,16.7%,54.8%,11.9%,,,2.4%,2.4%,
TG_0000143,132,51.5%,19.7%,43.2%,12.1%,2.3%,,,1.5%,
TG_0000052,41,,,14.6%,12.2%,,,,2.4%,
TG_0000275,8,,,12.5%,12.5%,,,,,
TG_0001521,8,,,25.0%,12.5%,,,,,
TG_0004947,8,12.5%,12.5%,50.0%,12.5%,,,,12.5%,
TG_0002184,23,47.8%,4.3%,52.2%,13.0%,,,4.3%,4.3%,
TG_0000761,53,47.2%,1.9%,52.8%,13.2%,,1.9%,3.8%,3.8%,
TG_0002253,15,,,20.0%,13.3%,,,,,
TG_0000136,7,,,42.9%,14.3%,,,,28.6%,
TG_0000266,7,,,14.3%,14.3%,,,,,
TG_0000302,7,28.6%,28.6%,114.3%,14.3%,42.9%,14.3%,,14.3%,
TG_0003194,7,,,28.6%,14.3%,,,,14.3%,
TG_0004308,14,,,285.7%,14.3%,185.7%,,35.7%,14.3%,
TG_0004370,7,,,85.7%,14.3%,28.6%,28.6%,14.3%,,
TG_0004549,7,,,28.6%,14.3%,,,,,
TG_0004667,7,,,14.3%,14.3%,,,,,
TG_0004837,14,35.7%,0.0%,64.3%,14.3%,,,7.1%,7.1%,
TG_0004943,7,57.1%,0.0%,85.7%,14.3%,,,,14.3%,
TG_0005329,7,,,14.3%,14.3%,,,,,
TG_0004592,6,,,16.7%,16.7%,,,,,
TG_0000007,11,9.1%,0.0%,45.5%,18.2%,,,9.1%,,
TG_0002197,11,,,45.5%,18.2%,,,9.1%,9.1%,
TG_0003190,5,,,60.0%,20.0%,20.0%,,,,
TG_0003193,5,,,40.0%,20.0%,20.0%,,,,
TG_0003201,10,,,60.0%,20.0%,10.0%,,,,
TG_0004573,5,,,80.0%,20.0%,,,,20.0%,20.0%
TG_0000919,9,,,22.2%,22.2%,,,,,
TG_0000012,12,8.3%,0.0%,41.7%,25.0%,,,,,
TG_0002551,4,,,50.0%,25.0%,,,,,25.0%
TG_0002552,12,,,41.7%,25.0%,8.3%,,,,
TG_0003336,4,,,25.0%,25.0%,,,,,
TG_0003423,4,,,25.0%,25.0%,,,,,
TG_0004366,4,,,100.0%,25.0%,50.0%,,25.0%,,
TG_0000463,7,,,142.9%,28.6%,,57.1%,14.3%,,
TG_0000243,9,55.6%,0.0%,66.7%,33.3%,,,,11.1%,
TG_0000443,3,,,333.3%,33.3%,,266.7%,,33.3%,
TG_0002229,9,,,111.1%,33.3%,11.1%,,44.4%,,11.1%
TG_0003397,3,,,33.3%,33.3%,,,,,
TG_0004372,3,,,200.0%,33.3%,100.0%,33.3%,33.3%,,
TG_0004916,3,,,100.0%,33.3%,,,,33.3%,
TG_0003191,11,,,72.7%,36.4%,,,9.1%,,9.1%
TG_0003246,7,,,100.0%,42.9%,14.3%,,28.6%,,
TG_0000383,2,,,1050.0%,50.0%,100.0%,500.0%,50.0%,250.0%,
TG_0000430,4,,,225.0%,50.0%,,125.0%,25.0%,,
TG_0001423,4,,,50.0%,50.0%,,,,,
TG_0000009,19,100.0%,0.0%,136.8%,57.9%,,,10.5%,,
TG_0000728,3,,,66.7%,66.7%,,,,,
TG_0004424,1,,,800.0%,100.0%,500.0%,100.0%,100.0%,,
TG_0004433,1,,,500.0%,100.0%,200.0%,,,,100.0%
TG_0004441,1,,,100.0%,100.0%,,,,,
TG_0004937,1,,,200.0%,100.0%,,,,,
TG_0004581,1,,,300.0%,200.0%,,,,,
TG_0004420,1,,,1300.0%,400.0%,400.0%,200.0%,200.0%,,
TG_0004310,1,,,1900.0%,500.0%,700.0%,,700.0%,,
